wp_id,f_artifact,validation_evidence,f_commit,prior_judge_commit,missing_judge_artifact,validation_summary,anti_fake_summary,prior_judged_at
DP-REPLAY-JUDGE-WP-000006,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000006-F-DP-INT-W2.md,"npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int: passed 25 files/188 tests; npm run typecheck: passed; npm exec eslint -- scripts src --format json: exit 0",2007b14988ce21d799b4fc6bc5e3d0377e5a05e9,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000006 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:23:28"
DP-REPLAY-JUDGE-WP-000007,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000007.md,"npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int: passed 25 files/194 tests; npm run typecheck: passed; npm exec eslint -- scripts src --format json: passed zero errors/warnings",571ac20d1,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000007 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:24:08"
DP-REPLAY-JUDGE-WP-000008,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000008-F-DP-INT-W2.json,"npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int: passed 25 files/190 tests; npm run typecheck: passed; eslint changed files: passed zero errors; git diff --check: passed",c8b08d00c3cac1d188d61aefb0fd872ca3fa68c5,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000008 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:24:08"
DP-REPLAY-JUDGE-WP-000009,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000009-F-DP-INT-W3.json,"npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int: passed; npm run typecheck: passed; npm exec eslint -- scripts src --format json: passed zero errors",499185bd1,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000009 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:24:08"
DP-REPLAY-JUDGE-WP-000010,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000010-F-DP-INT-W4.md,"npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int; npm test -- --run scripts/__tests__/dp-int-factory.test.mjs; npm run typecheck; npm exec eslint -- scripts src --format json",1f558572f4f976d76f8a5a29c8cf1633bd365ec0,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000010 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:24:08"
DP-REPLAY-JUDGE-WP-000011,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000011.md,"npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int: passed 25 files/197 tests; npm run typecheck: passed; npm exec eslint -- scripts src --format json: passed zero errors/warnings",e8bed7803,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000011 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:24:08"
DP-REPLAY-JUDGE-WP-000012,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000012-F-DP-INT-W3.json,"npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int: passed; npm run typecheck: passed; npm exec eslint -- scripts src --format json: passed zero errors",8d50033b2,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000012 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:24:08"
DP-REPLAY-JUDGE-WP-000013,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000013-F-DP-INT-W4.md,"npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int; npm run typecheck; npm exec eslint -- scripts src --format json",b0909d1947812c17b46e50b42d5eaa3f28b22212,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000013 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:24:08"
DP-REPLAY-JUDGE-WP-000014,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000014-F-DP-INT-W4.md,"npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int; npm run typecheck; npm exec eslint -- scripts src --format json",f01d428ae906924c6b3ac568a0d11a1606b3474e,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000014 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:24:08"
DP-REPLAY-JUDGE-WP-000015,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000015-F-DP-INT-W4.json,"npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int: passed 25 files/198 tests; npm run typecheck: passed; eslint changed file: passed zero errors; git diff --check: passed",7282348fef8f4b5da83142c0138b7b3e2a5c90b9,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000015 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:24:08"
DP-REPLAY-JUDGE-WP-000016,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000016.md,"npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int: passed 25 files/197 tests; npm run typecheck: passed; npm exec eslint -- scripts src --format json: passed zero errors/warnings",01a840ec1,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000016 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:24:08"
DP-REPLAY-JUDGE-WP-000017,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000017-F-DP-INT-W3.json,"npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int: passed; npm run typecheck: passed; npm exec eslint -- scripts src --format json: passed zero errors",172a0d638,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000017 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:24:08"
DP-REPLAY-JUDGE-WP-000018,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000018-F-DP-INT-W2.md,"npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int: passed 25 files/191 tests; npm run typecheck: passed; npm exec eslint -- scripts src --format json: exit 0",567dc398c,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000018 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:24:09"
DP-REPLAY-JUDGE-WP-000019,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000019-F-DP-INT-W1.json,"npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int: passed 25 files/198 tests; npm run typecheck: passed; eslint changed files: passed zero errors; git diff --check: passed",bae3866514abb49fdbba5c2a36f7e8fb39af9d82,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000019 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:24:09"
DP-REPLAY-JUDGE-WP-000020,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000020-F-DP-INT-W3.json,"npm test -- --run scripts/__tests__/dp-int-factory.test.mjs: passed; npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int: passed; npm run typecheck: passed; npm exec eslint -- scripts src --format json: passed zero errors",d82cfca8a,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000020 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:24:09"
DP-REPLAY-JUDGE-WP-000021,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000021-F-DP-INT-W4.md,"npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int; npm run typecheck; npm exec eslint -- scripts src --format json",0c015ca49121489082ba52c872489becd1581260,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000021 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:24:09"
DP-REPLAY-JUDGE-WP-000022,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000022-F-DP-INT-W3.json,"npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int: passed; npm run typecheck: passed; npm exec eslint -- scripts src --format json: passed zero errors",00524fcf2,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000022 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:24:09"
DP-REPLAY-JUDGE-WP-000023,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000023-F-DP-INT-W4.md,"npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int; npm run typecheck; npm exec eslint -- scripts src --format json",ebe94dc7286b17995967969dc6bb35fc9e932f05,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000023 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:24:09"
DP-REPLAY-JUDGE-WP-000024,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000024-F-DP-INT-W4.md,"npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int; npm run typecheck; npm exec eslint -- scripts src --format json",1366c592ba76c2f77155c530b5fd6145db43990a,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000024 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:24:09"
DP-REPLAY-JUDGE-WP-000025,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000025-F-DP-INT-W5.md,"npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int: passed 25 files, 205 tests; npm run typecheck: passed; npm exec eslint -- scripts src --format json: passed with zero errors and zero warnings",46ab2e83efd9220d48b137bfe1e317c61d6d12d5,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000025 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:24:09"
DP-REPLAY-JUDGE-WP-000026,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000026-F-DP-INT-W3.json,"npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int: passed; npm run typecheck: passed; npm exec eslint -- scripts src --format json: passed zero errors",a8730705a,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000026 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:24:09"
DP-REPLAY-JUDGE-WP-000027,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000027-F-DP-INT-W3.json,"npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int: passed 25 files/192 tests; npm run typecheck: passed; eslint changed files: passed zero errors; git diff --check: passed",2c5c282b1520cf0611affb6e12059fcbd2bac3af,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000027 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:24:09"
DP-REPLAY-JUDGE-WP-000028,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000028-F-DP-INT-W4.md,"npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int: pass; npm run typecheck: pass; npm exec eslint -- scripts src --format json: pass",ce5f76eb4,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000028 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:24:09"
DP-REPLAY-JUDGE-WP-000029,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000029-F-DP-INT-W3.md,"npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int passed; npm run typecheck passed; npm exec eslint -- scripts src --format json passed with zero errors",5070fc0cc230d226c69cddd157f54b08a2d34476,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000029 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:24:09"
DP-REPLAY-JUDGE-WP-000030,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000030-F-DP-INT-W4.md,"npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int; npm test -- --run scripts/__tests__/dp-int-factory.test.mjs; npm run typecheck; npm exec eslint -- scripts src --format json",77dcebc2babec3aaff973660c849cd03d42f5497,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000030 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:24:09"
DP-REPLAY-JUDGE-WP-000031,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000031-F-DP-INT-W4.md,"npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int; npm run typecheck; npm exec eslint -- scripts src --format json",0af5bc1622fcf7f6f88bb82209ccfbfb6f26a089,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000031 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:24:09"
DP-REPLAY-JUDGE-WP-000032,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000032-F-DP-INT-W4.md,"npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int; npm run typecheck; npm exec eslint -- scripts src --format json",4899728e587ddb403b2b472e009199f0865652a1,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000032 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:24:10"
DP-REPLAY-JUDGE-WP-000033,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000033-F-DP-INT-W4.md,"npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int; npm run typecheck; npm exec eslint -- scripts src --format json",55143a0879aaa631b1d0d2cb20a3ad28f87eeffc,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000033 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:24:10"
DP-REPLAY-JUDGE-WP-000034,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000034-F-DP-INT-W4.md,"npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int PASS; npm run typecheck PASS; npm exec eslint -- scripts src --format json PASS",9872b4c62,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000034 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:24:10"
DP-REPLAY-JUDGE-WP-000035,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000035-F-DP-INT-W3.md,"npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int passed; npm run typecheck passed; npm exec eslint -- scripts src --format json passed with zero errors",219c3bd83b624b0fc39107a7a145438c67b185ad,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000035 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:24:10"
